2025-09-18 19:11:40,291 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:11:40,292 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:11:46,222 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:46,223 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:11:46,223 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:46,224 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:11:46,225 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:11:46,225 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:11:46,225 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:11:46,226 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:46,226 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:11:46,226 | trend-bot | INFO | 
2025-09-18 19:11:46,227 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:11:46,227 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:11:46,227 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:11:56,683 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:56,683 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:11:56,684 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:56,685 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:11:56,685 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:11:56,686 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:11:56,687 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:11:56,688 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:56,688 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:11:56,689 | trend-bot | INFO | 
2025-09-18 19:11:56,689 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:11:56,690 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:11:56,691 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:12:14,384 | trend-bot | INFO | ================================================================================
2025-09-18 19:12:14,384 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:12:14,385 | trend-bot | INFO | ================================================================================
2025-09-18 19:12:14,385 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:12:14,386 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:12:14,387 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:12:14,387 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:12:14,388 | trend-bot | INFO | ================================================================================
2025-09-18 19:12:14,389 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:12:14,389 | trend-bot | INFO | 
2025-09-18 19:12:14,390 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:12:14,390 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:12:14,391 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:14:05,757 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:05,758 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:14:05,759 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:05,760 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:14:05,761 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:14:05,762 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:14:05,762 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:14:05,763 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:05,764 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:14:05,765 | trend-bot | INFO | 
2025-09-18 19:14:05,765 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:14:05,765 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:14:05,766 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:14:08,012 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:08,013 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:14:08,014 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:08,015 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:14:08,015 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:14:08,016 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:14:08,017 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:14:08,018 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:08,019 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:14:08,020 | trend-bot | INFO | 
2025-09-18 19:14:08,021 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:14:08,021 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:14:08,022 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:14:14,402 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:14,403 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:14:14,404 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:14,405 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:14:14,405 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:14:14,406 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:14:14,407 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:14:14,407 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:14,408 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:14:14,409 | trend-bot | INFO | 
2025-09-18 19:14:14,409 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:14:14,410 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:14:14,411 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:14:21,180 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:21,180 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:14:21,181 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:21,182 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:14:21,183 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:14:21,183 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:14:21,184 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:14:21,185 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:21,186 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:14:21,187 | trend-bot | INFO | 
2025-09-18 19:14:21,187 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:14:21,188 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:14:21,189 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:14:31,607 | trend-bot | INFO | ================================================================================
