2025-09-18 23:15:50,748 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,749 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,749 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,750 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,750 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,751 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,751 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,752 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,753 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $243.97
2025-09-18 23:15:50,753 | jit-mm-swift | INFO | REAL order sync complete: 12 orders tracked in 7.1ms
2025-09-18 23:15:50,753 | jit-mm-swift | INFO | Periodic order sync completed: 12 orders tracked
2025-09-18 23:15:53,407 | jit-mm-swift | INFO | sync_start delay=10s
2025-09-18 23:15:53,408 | jit-mm-swift | INFO | Syncing existing orders from Drift...
2025-09-18 23:15:53,408 | jit-mm-swift | INFO | DriftPy get_open_orders returned 12 orders
2025-09-18 23:15:53,409 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.03
2025-09-18 23:15:53,410 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,410 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,410 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,411 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,411 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,411 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,412 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,412 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,413 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,413 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:53,413 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $243.97
2025-09-18 23:15:53,413 | jit-mm-swift | INFO | REAL order sync complete: 12 orders tracked in 5.0ms
2025-09-18 23:15:53,414 | jit-mm-swift | INFO | sync_ok active_orders=12
2025-09-18 23:15:53,731 | jit-mm-swift | WARNING | placement_blocked: at max orders (12/10)
